id,name,location,price,rate,types,amenities,imp,ids
11,Typically Responds within 24 hours,Jericho,50.0,3,"id: 1, type_name: Banquet, id: 3, type_name: Restaurant","id: 184, amenities_name: Dj Booth for inhouse or hired Dj, id: 191, amenities_name: Take advantage of the opportunity to view inspiring exhibitions during breaks in your program. Gallery tours can be scheduled at no additional cost., id: 237, amenities_name: Proof of Vaccination is required, id: 284, amenities_name: Pool, darts, ping pong, shuffleboard, firepits, 3 patios, id: 469, amenities_name: We Welcome Outside Catering for Kosher and Indian Weddings. Please Inquire For More Information!, id: 695, amenities_name: Bridal Attendant","Typically Responds within 24 hours Jericho 50.0 3 id: 1, type_name: Banquet, id: 3, type_name: Restaurant id: 184, amenities_name: Dj Booth for inhouse or hired Dj, id: 191, amenities_name: Take advantage of the opportunity to view inspiring exhibitions during breaks in your program. Gallery tours can be scheduled at no additional cost., id: 237, amenities_name: Proof of Vaccination is required, id: 284, amenities_name: Pool, darts, ping pong, shuffleboard, firepits, 3 patios, id: 469, amenities_name: We Welcome Outside Catering for Kosher and Indian Weddings. Please Inquire For More Information!, id: 695, amenities_name: Bridal Attendant",10
12,Angeleno Banquet Hall,Jerusalem,2950.0,1,"id: 1, type_name: Banquet","id: 120, amenities_name: State of the art sound system, HD Projection screen, id: 286, amenities_name: Working horse & cattle farm. Fishing ponds. Onsite accommodations. Horseback riding nearby. Historic Attractions nearby include Monticello, Montpelier, Wilderness Battleground, Exchange Hotel Civil War Museum, Michies Tavern. Excellent restaurants., id: 360, amenities_name: New York Styled Flat Townhouse venue upstairs., id: 413, amenities_name: Outdoor seasonal patio and other rustic outdoor spaces available for private event rental., id: 438, amenities_name: Private entrance access., id: 668, amenities_name: Waterfront views to the Miami Rivers","Angeleno Banquet Hall Jerusalem 2950.0 1 id: 1, type_name: Banquet id: 120, amenities_name: State of the art sound system, HD Projection screen, id: 286, amenities_name: Working horse & cattle farm. Fishing ponds. Onsite accommodations. Horseback riding nearby. Historic Attractions nearby include Monticello, Montpelier, Wilderness Battleground, Exchange Hotel Civil War Museum, Michies Tavern. Excellent restaurants., id: 360, amenities_name: New York Styled Flat Townhouse venue upstairs., id: 413, amenities_name: Outdoor seasonal patio and other rustic outdoor spaces available for private event rental., id: 438, amenities_name: Private entrance access., id: 668, amenities_name: Waterfront views to the Miami Rivers",11
13,Typically Responds within 24 hours,Nablus,2900.0,5,"id: 1, type_name: Banquet, id: 9, type_name: Park, id: 15, type_name: Museum","id: 149, amenities_name: outdoor event space with a spacious private garden and contemporary design fully equipped kitchen makes it the perfect spot for any private function., id: 229, amenities_name: 3000 sq feet 1st floor, id: 272, amenities_name: 1 Restaurant, id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 384, amenities_name: Tables and chairs included in rental of space. WiFi is complimentary in meeting room, public areas and guest rooms. Hotel offers customizable catering options which can be tailored to your needs., id: 408, amenities_name: Historical landmark. Interior of space is modeled after a Moorish castle. Features built in stage. Experienced, inhouse production team. Parking.","Typically Responds within 24 hours Nablus 2900.0 5 id: 1, type_name: Banquet, id: 9, type_name: Park, id: 15, type_name: Museum id: 149, amenities_name: outdoor event space with a spacious private garden and contemporary design fully equipped kitchen makes it the perfect spot for any private function., id: 229, amenities_name: 3000 sq feet 1st floor, id: 272, amenities_name: 1 Restaurant, id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 384, amenities_name: Tables and chairs included in rental of space. WiFi is complimentary in meeting room, public areas and guest rooms. Hotel offers customizable catering options which can be tailored to your needs., id: 408, amenities_name: Historical landmark. Interior of space is modeled after a Moorish castle. Features built in stage. Experienced, inhouse production team. Parking.",12
14,Typically Responds within 24 hours,Nablus,1867.0,4,"id: 7, type_name: Hotel","id: 18, amenities_name: wifi, bathroom, sink, parking on site, and a comprehensive security system, id: 78, amenities_name: Including all new Audio & video systems: screen projectors, wireless mics, speakers, TV wall; Equipment: chairs, tables, pedestals, kitchen, meeting rooms, bathrooms, etc., id: 194, amenities_name: Outside catering allowed., id: 328, amenities_name: DJ available, id: 474, amenities_name: Free Wireless WiFi in meeting space and sleeping rooms, 24 Hour business center, complimentary fitness center access, CVS and pharmacy on site, ATM onsite, full service restaurant onsite, food court, room service, and discounted overnight parking., id: 682, amenities_name: Weddings, Birthday, Bridal Shower, Baby Shower Communion, Graduation, Rehearsal Dinner","Typically Responds within 24 hours Nablus 1867.0 4 id: 7, type_name: Hotel id: 18, amenities_name: wifi, bathroom, sink, parking on site, and a comprehensive security system, id: 78, amenities_name: Including all new Audio & video systems: screen projectors, wireless mics, speakers, TV wall; Equipment: chairs, tables, pedestals, kitchen, meeting rooms, bathrooms, etc., id: 194, amenities_name: Outside catering allowed., id: 328, amenities_name: DJ available, id: 474, amenities_name: Free Wireless WiFi in meeting space and sleeping rooms, 24 Hour business center, complimentary fitness center access, CVS and pharmacy on site, ATM onsite, full service restaurant onsite, food court, room service, and discounted overnight parking., id: 682, amenities_name: Weddings, Birthday, Bridal Shower, Baby Shower Communion, Graduation, Rehearsal Dinner",13
15,The Mayfair Hotel Event Space,Qalquilia,975.0,5,"id: 1, type_name: Banquet, id: 5, type_name: Ballroom","id: 62, amenities_name: 3 acres of Outdoor Space, id: 126, amenities_name: Free Parking, Wheelchair accessible, Outdoor garden has lighting for night events, id: 225, amenities_name: State of the art audio visual capabilities apple TV video wall, Sound system, Modular furniture, Microphones, Stage, id: 298, amenities_name: Completely White Rooms, Floors, Ceilings, Walls., id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 535, amenities_name: Full service stage for live performances, speeches and wedding ceremonies.","The Mayfair Hotel Event Space Qalquilia 975.0 5 id: 1, type_name: Banquet, id: 5, type_name: Ballroom id: 62, amenities_name: 3 acres of Outdoor Space, id: 126, amenities_name: Free Parking, Wheelchair accessible, Outdoor garden has lighting for night events, id: 225, amenities_name: State of the art audio visual capabilities apple TV video wall, Sound system, Modular furniture, Microphones, Stage, id: 298, amenities_name: Completely White Rooms, Floors, Ceilings, Walls., id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 535, amenities_name: Full service stage for live performances, speeches and wedding ceremonies.",14
16,Typically Responds within 24 hours,Ramallah,350.0,4,"id: 3, type_name: Restaurant, id: 8, type_name: Conference, id: 9, type_name: Park","id: 151, amenities_name: Customized Art Curation, id: 162, amenities_name: Private Tour for guests, id: 171, amenities_name: 3 Bars + 1 Hidden Service Bar for Staff, id: 189, amenities_name: Kitchens are equipped with fridge, freezer, and electrical stove tops, id: 318, amenities_name: Security, id: 631, amenities_name: Member of Audubon Society Conservation of birds, other wildlife and healthy ecosystems","Typically Responds within 24 hours Ramallah 350.0 4 id: 3, type_name: Restaurant, id: 8, type_name: Conference, id: 9, type_name: Park id: 151, amenities_name: Customized Art Curation, id: 162, amenities_name: Private Tour for guests, id: 171, amenities_name: 3 Bars + 1 Hidden Service Bar for Staff, id: 189, amenities_name: Kitchens are equipped with fridge, freezer, and electrical stove tops, id: 318, amenities_name: Security, id: 631, amenities_name: Member of Audubon Society Conservation of birds, other wildlife and healthy ecosystems",15
17,Studio M,Jenin,160.0,4,"id: 4, type_name: Studio","id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 36, amenities_name: Wifi available; music, private restrooms and parking. Onsite catering services., id: 360, amenities_name: New York Styled Flat Townhouse venue upstairs., id: 424, amenities_name: Outdoor deck, id: 542, amenities_name: Family style ethnic menues available: Polish, German, Mexican, Puerto Rican, Italian, Albanian, Serbian, Bosnian, Bulgarian, Indian, Chinese and lots more. Or you can bring your own food and beverages., id: 648, amenities_name: Fog Machine","Studio M Jenin 160.0 4 id: 4, type_name: Studio id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 36, amenities_name: Wifi available; music, private restrooms and parking. Onsite catering services., id: 360, amenities_name: New York Styled Flat Townhouse venue upstairs., id: 424, amenities_name: Outdoor deck, id: 542, amenities_name: Family style ethnic menues available: Polish, German, Mexican, Puerto Rican, Italian, Albanian, Serbian, Bosnian, Bulgarian, Indian, Chinese and lots more. Or you can bring your own food and beverages., id: 648, amenities_name: Fog Machine",16
18,Luxury Downtown Creative Space with Skyline View and Natural Lighting - 503DTLA,Jericho,10.0,1,"id: 4, type_name: Studio","id: 234, amenities_name: Easy Loading Dock, id: 262, amenities_name: A oneofakind Ninja Wipeout course will amuse and challenge your team for hours of fun!, id: 405, amenities_name: Experience Buenos Aires’ Golden Age at Artango Bar and Steakhouse, where the rich cultural heritage of Argentina comes alive. Set amidst a tableau of Art Nouveau and Neoclassical architecture and décor are the exciting tastes, lively music and dancing., id: 417, amenities_name: Within the City of Charlottesville, the North American Sake Brewery & Restaurant features the absolute best indoor and outdoor experience you can imagine. A welcome and friendly staff is there for your every accommodation. This place is not to be missed!, id: 506, amenities_name: lounge 1,800 sq ft. We offer a Bridal Suite along with private patio is seasonally available for ceremonies and outdoor seating for your Hors DOeuvres and Refreshment Hour. New flooring in bar, id: 512, amenities_name: Spacious catering prep kitchen","Luxury Downtown Creative Space with Skyline View and Natural Lighting - 503DTLA Jericho 10.0 1 id: 4, type_name: Studio id: 234, amenities_name: Easy Loading Dock, id: 262, amenities_name: A oneofakind Ninja Wipeout course will amuse and challenge your team for hours of fun!, id: 405, amenities_name: Experience Buenos Aires’ Golden Age at Artango Bar and Steakhouse, where the rich cultural heritage of Argentina comes alive. Set amidst a tableau of Art Nouveau and Neoclassical architecture and décor are the exciting tastes, lively music and dancing., id: 417, amenities_name: Within the City of Charlottesville, the North American Sake Brewery & Restaurant features the absolute best indoor and outdoor experience you can imagine. A welcome and friendly staff is there for your every accommodation. This place is not to be missed!, id: 506, amenities_name: lounge 1,800 sq ft. We offer a Bridal Suite along with private patio is seasonally available for ceremonies and outdoor seating for your Hors DOeuvres and Refreshment Hour. New flooring in bar, id: 512, amenities_name: Spacious catering prep kitchen",17
19,Yamashiro Hollywood,Nablus,400.0,3,"id: 3, type_name: Restaurant","id: 111, amenities_name: Free admission to the National Museums galleries is included with all facility rentals., id: 119, amenities_name: bridal showers, birthday parties and meetings. We have an add on area available. Central location. Ample parking available., id: 224, amenities_name: No Outside food & beverage allowed, id: 227, amenities_name: 15FT Gallery Walls, id: 320, amenities_name: Equipment: 60 chairs; 7 cocktail tables; AV, speaker’s podium with microphone, large screen, id: 480, amenities_name: Airport Landing Strip","Yamashiro Hollywood Nablus 400.0 3 id: 3, type_name: Restaurant id: 111, amenities_name: Free admission to the National Museums galleries is included with all facility rentals., id: 119, amenities_name: bridal showers, birthday parties and meetings. We have an add on area available. Central location. Ample parking available., id: 224, amenities_name: No Outside food & beverage allowed, id: 227, amenities_name: 15FT Gallery Walls, id: 320, amenities_name: Equipment: 60 chairs; 7 cocktail tables; AV, speaker’s podium with microphone, large screen, id: 480, amenities_name: Airport Landing Strip",18
20,Daily Grill Century Boulevard,Jericho,29.0,1,"id: 3, type_name: Restaurant","id: 4, amenities_name: OnSite Catering Service, id: 10, amenities_name: Indoor Pool, id: 74, amenities_name: Newly renovated boutique intimate space with black industrial ceilings and marble look flooring. Perfect for dinner parties, baby, id: 86, amenities_name: Our beautifully restored main hall is set up as an 1800s Puritan meeting house, complete with bench and box pews, a gorgeous mahogany pulpit, and soaring ceilings. It makes the perfect timeless backdrop for your wedding or private event., id: 213, amenities_name: Ask about our special discount if you book on a Friday or a Sunday!, id: 567, amenities_name: DJ Booth","Daily Grill Century Boulevard Jericho 29.0 1 id: 3, type_name: Restaurant id: 4, amenities_name: OnSite Catering Service, id: 10, amenities_name: Indoor Pool, id: 74, amenities_name: Newly renovated boutique intimate space with black industrial ceilings and marble look flooring. Perfect for dinner parties, baby, id: 86, amenities_name: Our beautifully restored main hall is set up as an 1800s Puritan meeting house, complete with bench and box pews, a gorgeous mahogany pulpit, and soaring ceilings. It makes the perfect timeless backdrop for your wedding or private event., id: 213, amenities_name: Ask about our special discount if you book on a Friday or a Sunday!, id: 567, amenities_name: DJ Booth",19
21,Shrine Auditorium and Expo Hall,Hebron,10000.0,2,"id: 10, type_name: Theater","id: 86, amenities_name: Our beautifully restored main hall is set up as an 1800s Puritan meeting house, complete with bench and box pews, a gorgeous mahogany pulpit, and soaring ceilings. It makes the perfect timeless backdrop for your wedding or private event., id: 112, amenities_name: live music., id: 168, amenities_name: Tastings, id: 180, amenities_name: Apple TV, id: 501, amenities_name: Riverwalk Terrace that overlooks the beautiful San Antonio Riverwalk., id: 621, amenities_name: We provide all guest with one 1 hour prior for set up free of charge.","Shrine Auditorium and Expo Hall Hebron 10000.0 2 id: 10, type_name: Theater id: 86, amenities_name: Our beautifully restored main hall is set up as an 1800s Puritan meeting house, complete with bench and box pews, a gorgeous mahogany pulpit, and soaring ceilings. It makes the perfect timeless backdrop for your wedding or private event., id: 112, amenities_name: live music., id: 168, amenities_name: Tastings, id: 180, amenities_name: Apple TV, id: 501, amenities_name: Riverwalk Terrace that overlooks the beautiful San Antonio Riverwalk., id: 621, amenities_name: We provide all guest with one 1 hour prior for set up free of charge.",20
22,Santuari Restaurant,Jerusalem,10.0,1,"id: 3, type_name: Restaurant","id: 229, amenities_name: 3000 sq feet 1st floor, id: 295, amenities_name: Dance to live Greek music. Full bar. Enjoy our Party Packages served family style while you celebrate and party with your guests! Opa!, id: 445, amenities_name: State of Art Sound and Lighting system, id: 479, amenities_name: We also offer the ff services at a discounted cost: balloon decors, id: 533, amenities_name: Brand New ballroom space., id: 536, amenities_name: Minutes from the beach","Santuari Restaurant Jerusalem 10.0 1 id: 3, type_name: Restaurant id: 229, amenities_name: 3000 sq feet 1st floor, id: 295, amenities_name: Dance to live Greek music. Full bar. Enjoy our Party Packages served family style while you celebrate and party with your guests! Opa!, id: 445, amenities_name: State of Art Sound and Lighting system, id: 479, amenities_name: We also offer the ff services at a discounted cost: balloon decors, id: 533, amenities_name: Brand New ballroom space., id: 536, amenities_name: Minutes from the beach",21
23,Typically Responds within 24 hours,Ramallah,275.0,1,"id: 4, type_name: Studio","id: 124, amenities_name: Verizon Center and Metro access Gallery Place available., id: 149, amenities_name: outdoor event space with a spacious private garden and contemporary design fully equipped kitchen makes it the perfect spot for any private function., id: 460, amenities_name: All alcohol MUST be supplied and purchased from us., id: 467, amenities_name: No Pets, except service animals, id: 585, amenities_name: Elegant chandeliers., id: 629, amenities_name: Special food and drink packages available","Typically Responds within 24 hours Ramallah 275.0 1 id: 4, type_name: Studio id: 124, amenities_name: Verizon Center and Metro access Gallery Place available., id: 149, amenities_name: outdoor event space with a spacious private garden and contemporary design fully equipped kitchen makes it the perfect spot for any private function., id: 460, amenities_name: All alcohol MUST be supplied and purchased from us., id: 467, amenities_name: No Pets, except service animals, id: 585, amenities_name: Elegant chandeliers., id: 629, amenities_name: Special food and drink packages available",22
24,Hollywood Post 43 of the American Legion,Jenin,1500.0,3,"id: 8, type_name: Conference, id: 10, type_name: Theater","id: 121, amenities_name: 2 floors, full kitchen, patio area, lounge area, 2 restrooms, tables, chairs, sound system, projector, wifi., id: 207, amenities_name: Classroom 1 and 2 can open up to one large room $50, id: 210, amenities_name: Additional Parking option, id: 453, amenities_name: StateoftheArt Sound, id: 608, amenities_name: Comfortable temperature adjustment., id: 683, amenities_name: Dove & Quail Hunting","Hollywood Post 43 of the American Legion Jenin 1500.0 3 id: 8, type_name: Conference, id: 10, type_name: Theater id: 121, amenities_name: 2 floors, full kitchen, patio area, lounge area, 2 restrooms, tables, chairs, sound system, projector, wifi., id: 207, amenities_name: Classroom 1 and 2 can open up to one large room $50, id: 210, amenities_name: Additional Parking option, id: 453, amenities_name: StateoftheArt Sound, id: 608, amenities_name: Comfortable temperature adjustment., id: 683, amenities_name: Dove & Quail Hunting",23
